Researcher_ID,Field_of_Study,Years_Experience,Primary_LLM_Tool,Usage_Frequency,Weekly_Hours_Saved,Papers_Published_3Yrs,Ethical_Concern_Score,AI_Detection_Pass_Rate
RES_0001,Social Sciences,4,Copilot,Daily,1.1,6,8,94.76
RES_0002,Humanities,5,Gemini Ultra,Rarely,6.6,6,1,93.02
RES_0003,Physics,8,Gemini Ultra,Monthly,4.3,5,9,74.37
RES_0004,Humanities,4,Llama 3,Weekly,12.5,5,4,83.94
RES_0005,Humanities,6,None,Rarely,0.0,8,8,66.23
RES_0006,Medicine,3,Claude 3,Rarely,5.7,2,10,81.37
RES_0007,Physics,5,Claude 3,Never,12.6,3,7,69.19
RES_0008,Physics,14,GPT-4,Rarely,1.0,3,10,89.68
RES_0009,Physics,8,Gemini Ultra,Weekly,5.3,8,7,81.07
RES_0010,Humanities,14,Gemini Ultra,Weekly,4.4,2,2,76.41
RES_0011,Social Sciences,4,Claude 3,Monthly,4.3,10,1,70.73
RES_0012,Physics,12,GPT-4,Monthly,2.0,6,4,99.85
RES_0013,Engineering,1,Copilot,Monthly,3.6,8,2,62.86
RES_0014,Humanities,8,GPT-4,Rarely,8.8,5,8,61.74
RES_0015,Medicine,13,Gemini Ultra,Rarely,5.1,3,10,68.67
RES_0016,Social Sciences,1,None,Never,0.0,5,7,98.75
RES_0017,Engineering,4,Claude 3,Monthly,6.8,1,8,99.07
RES_0018,Engineering,8,GPT-4,Daily,6.3,8,6,86.13
RES_0019,Medicine,16,Gemini Ultra,Never,13.3,6,1,95.12
RES_0020,Social Sciences,5,Copilot,Daily,13.7,4,9,68.54
RES_0021,Humanities,12,Llama 3,Rarely,7.9,7,6,98.78
RES_0022,Computer Science,21,None,Never,0.0,1,10,65.7
RES_0023,Social Sciences,12,GPT-4,Never,5.6,7,1,64.03
RES_0024,Medicine,7,Llama 3,Weekly,2.5,3,1,64.48
RES_0025,Engineering,10,Gemini Ultra,Rarely,14.3,9,8,82.87
RES_0026,Humanities,5,Copilot,Rarely,1.8,4,6,91.16
RES_0027,Social Sciences,8,GPT-4,Never,5.2,2,8,74.63
RES_0028,Computer Science,7,Copilot,Rarely,5.2,4,8,99.02
RES_0029,Computer Science,10,Llama 3,Never,5.5,6,8,77.33
RES_0030,Physics,5,Claude 3,Weekly,3.3,2,10,66.0
RES_0031,Physics,11,GPT-4,Never,12.0,1,7,78.59
RES_0032,Medicine,5,Copilot,Rarely,2.7,7,7,87.09
RES_0033,Social Sciences,15,GPT-4,Rarely,9.9,7,10,93.21
RES_0034,Social Sciences,6,Claude 3,Never,2.7,6,4,78.3
RES_0035,Engineering,1,GPT-4,Never,2.0,8,9,83.68
RES_0036,Engineering,3,Copilot,Never,13.7,7,2,70.67
RES_0037,Engineering,8,Gemini Ultra,Monthly,3.7,5,9,85.77
RES_0038,Physics,24,Gemini Ultra,Rarely,12.5,6,10,99.34
RES_0039,Social Sciences,14,GPT-4,Rarely,8.6,6,3,61.96
RES_0040,Social Sciences,1,Gemini Ultra,Monthly,2.1,7,2,95.37
RES_0041,Computer Science,1,Llama 3,Never,14.4,6,4,82.44
RES_0042,Physics,18,Copilot,Weekly,4.5,3,5,70.06
RES_0043,Humanities,13,None,Never,0.0,3,2,98.1
RES_0044,Physics,33,GPT-4,Never,13.0,1,1,79.29
RES_0045,Humanities,5,Gemini Ultra,Monthly,3.4,5,10,73.23
RES_0046,Computer Science,3,GPT-4,Rarely,13.0,3,5,67.24
RES_0047,Medicine,8,Llama 3,Never,1.2,9,9,69.75
RES_0048,Social Sciences,5,GPT-4,Rarely,8.2,8,5,93.23
RES_0049,Computer Science,16,Claude 3,Daily,11.8,4,10,84.51
RES_0050,Social Sciences,5,Claude 3,Rarely,14.1,2,9,96.44
RES_0051,Engineering,6,Gemini Ultra,Weekly,13.7,3,10,69.26
RES_0052,Medicine,3,Claude 3,Weekly,12.5,2,6,64.83
RES_0053,Medicine,14,Gemini Ultra,Never,13.4,4,3,60.24
RES_0054,Computer Science,3,Claude 3,Rarely,3.8,4,4,80.26
RES_0055,Medicine,11,GPT-4,Never,5.0,5,4,99.83
RES_0056,Humanities,27,Gemini Ultra,Monthly,5.0,8,1,87.73
RES_0057,Medicine,1,GPT-4,Weekly,6.3,6,3,72.3
RES_0058,Social Sciences,22,Claude 3,Never,6.5,3,3,94.99
RES_0059,Social Sciences,10,Gemini Ultra,Monthly,8.6,5,1,91.19
RES_0060,Social Sciences,2,Claude 3,Never,3.2,6,9,60.62
RES_0061,Social Sciences,9,GPT-4,Rarely,10.7,3,1,92.59
RES_0062,Humanities,13,Claude 3,Rarely,3.3,8,9,71.99
RES_0063,Physics,4,None,Rarely,0.0,8,1,65.97
RES_0064,Engineering,11,Gemini Ultra,Rarely,5.3,5,2,69.03
RES_0065,Computer Science,23,Gemini Ultra,Daily,8.0,4,2,78.7
RES_0066,Social Sciences,5,Gemini Ultra,Monthly,12.2,2,6,76.95
RES_0067,Medicine,3,GPT-4,Monthly,11.4,6,7,71.53
RES_0068,Social Sciences,7,Claude 3,Rarely,10.0,5,1,66.87
RES_0069,Medicine,8,Gemini Ultra,Daily,3.2,6,3,90.41
RES_0070,Engineering,17,GPT-4,Rarely,8.7,7,2,99.51
RES_0071,Engineering,7,GPT-4,Daily,2.2,3,8,91.03
RES_0072,Engineering,5,GPT-4,Rarely,6.3,9,9,71.81
RES_0073,Medicine,3,Claude 3,Weekly,6.8,2,2,69.77
RES_0074,Social Sciences,1,None,Weekly,0.0,0,2,68.68
RES_0075,Engineering,2,GPT-4,Never,1.6,6,10,65.45
RES_0076,Humanities,2,Llama 3,Rarely,4.8,4,9,82.0
RES_0077,Medicine,6,GPT-4,Monthly,14.4,6,4,84.16
RES_0078,Medicine,1,None,Never,0.0,4,5,88.15
RES_0079,Social Sciences,7,GPT-4,Weekly,14.4,5,9,87.14
RES_0080,Medicine,26,Claude 3,Rarely,5.9,2,6,71.66
RES_0081,Medicine,17,Gemini Ultra,Never,1.6,5,10,73.18
RES_0082,Engineering,6,Gemini Ultra,Rarely,3.5,4,9,87.19
RES_0083,Social Sciences,38,Claude 3,Weekly,6.5,3,9,73.94
RES_0084,Engineering,8,Claude 3,Never,14.3,5,7,68.48
RES_0085,Engineering,9,Claude 3,Weekly,3.0,3,10,74.94
RES_0086,Social Sciences,7,GPT-4,Daily,11.7,3,9,70.86
RES_0087,Computer Science,8,GPT-4,Weekly,2.5,4,5,63.52
RES_0088,Engineering,5,Claude 3,Rarely,14.7,8,5,93.12
RES_0089,Humanities,6,GPT-4,Monthly,6.3,5,8,94.04
RES_0090,Humanities,22,GPT-4,Weekly,11.9,4,10,68.77
RES_0091,Medicine,19,Gemini Ultra,Monthly,5.8,4,4,62.58
RES_0092,Humanities,1,None,Daily,0.0,4,9,89.48
RES_0093,Medicine,2,Gemini Ultra,Never,9.8,4,7,68.44
RES_0094,Computer Science,4,GPT-4,Never,3.7,7,7,75.7
RES_0095,Social Sciences,15,GPT-4,Monthly,3.0,8,3,62.56
RES_0096,Social Sciences,19,None,Never,0.0,7,4,69.03
RES_0097,Social Sciences,13,GPT-4,Weekly,14.1,3,7,91.64
RES_0098,Humanities,2,GPT-4,Monthly,13.8,6,5,92.1
RES_0099,Computer Science,5,Llama 3,Rarely,13.4,6,3,68.26
RES_0100,Humanities,11,Gemini Ultra,Weekly,9.8,4,1,73.4
RES_0101,Humanities,6,Gemini Ultra,Weekly,12.3,6,7,65.36
RES_0102,Computer Science,6,GPT-4,Weekly,2.0,9,6,62.96
RES_0103,Computer Science,6,GPT-4,Rarely,5.7,6,10,99.59
RES_0104,Computer Science,18,None,Daily,0.0,4,7,86.16
RES_0105,Computer Science,12,GPT-4,Never,5.4,6,2,81.63
RES_0106,Social Sciences,6,Gemini Ultra,Monthly,9.9,7,4,90.54
RES_0107,Physics,10,Gemini Ultra,Daily,6.0,4,2,93.52
RES_0108,Physics,2,Gemini Ultra,Monthly,3.1,3,8,92.19
RES_0109,Computer Science,5,Claude 3,Never,9.4,4,7,60.66
RES_0110,Physics,17,GPT-4,Rarely,12.4,5,1,67.45
RES_0111,Physics,1,Llama 3,Weekly,6.3,3,2,86.13
RES_0112,Computer Science,12,Copilot,Weekly,2.9,5,2,74.99
RES_0113,Physics,1,None,Rarely,0.0,3,4,99.2
RES_0114,Humanities,24,GPT-4,Daily,3.8,5,3,86.55
RES_0115,Medicine,5,GPT-4,Daily,4.3,5,1,98.17
RES_0116,Medicine,11,None,Monthly,0.0,5,2,68.04
RES_0117,Computer Science,9,Gemini Ultra,Rarely,5.2,6,9,94.47
RES_0118,Social Sciences,9,Copilot,Daily,10.0,6,1,72.82
RES_0119,Computer Science,10,GPT-4,Rarely,9.4,6,9,99.48
RES_0120,Social Sciences,1,Llama 3,Never,10.7,5,7,66.29
RES_0121,Medicine,9,Gemini Ultra,Weekly,6.1,7,2,80.6
RES_0122,Computer Science,7,Gemini Ultra,Weekly,12.5,3,2,91.63
RES_0123,Engineering,5,Claude 3,Weekly,3.9,5,5,77.26
RES_0124,Humanities,4,GPT-4,Rarely,7.6,7,5,78.68
RES_0125,Physics,9,Llama 3,Rarely,12.2,2,4,99.36
RES_0126,Social Sciences,3,GPT-4,Monthly,3.5,8,10,76.97
RES_0127,Engineering,16,Claude 3,Weekly,2.5,4,10,84.1
RES_0128,Physics,11,None,Monthly,0.0,2,3,62.18
RES_0129,Physics,10,Claude 3,Weekly,13.4,5,4,93.6
RES_0130,Computer Science,16,Copilot,Monthly,5.8,5,10,85.86
RES_0131,Physics,1,GPT-4,Monthly,10.6,4,4,76.12
RES_0132,Humanities,2,Gemini Ultra,Never,1.4,6,2,60.65
RES_0133,Engineering,12,None,Monthly,0.0,8,5,83.61
RES_0134,Physics,4,GPT-4,Rarely,10.7,4,5,60.51
RES_0135,Computer Science,4,GPT-4,Monthly,5.4,3,5,60.05
RES_0136,Humanities,2,Claude 3,Weekly,1.8,6,10,84.58
RES_0137,Medicine,3,GPT-4,Monthly,9.5,4,1,67.54
RES_0138,Engineering,17,Gemini Ultra,Daily,4.4,2,6,67.66
RES_0139,Physics,11,None,Weekly,0.0,3,2,86.07
RES_0140,Computer Science,9,Claude 3,Daily,6.4,1,7,62.14
RES_0141,Medicine,5,GPT-4,Weekly,2.1,9,4,72.5
RES_0142,Medicine,9,Claude 3,Rarely,3.1,5,5,65.96
RES_0143,Social Sciences,18,Gemini Ultra,Rarely,5.2,3,5,83.15
RES_0144,Humanities,4,GPT-4,Rarely,2.3,4,5,86.4
RES_0145,Physics,8,Llama 3,Daily,13.8,3,2,88.77
RES_0146,Computer Science,25,Gemini Ultra,Never,1.1,4,5,70.18
RES_0147,Social Sciences,13,Gemini Ultra,Weekly,7.8,6,3,63.56
RES_0148,Humanities,5,GPT-4,Rarely,2.7,4,4,63.14
RES_0149,Social Sciences,13,Gemini Ultra,Weekly,5.3,2,2,77.0
RES_0150,Engineering,1,GPT-4,Daily,14.0,6,4,97.74
RES_0151,Humanities,7,GPT-4,Never,3.3,3,9,68.69
RES_0152,Humanities,13,Copilot,Daily,14.5,6,8,70.24
RES_0153,Physics,11,Gemini Ultra,Weekly,3.9,2,3,64.03
RES_0154,Humanities,12,GPT-4,Never,11.4,8,1,84.16
RES_0155,Social Sciences,14,GPT-4,Never,8.7,3,1,87.13
RES_0156,Humanities,11,GPT-4,Daily,13.4,6,6,85.65
RES_0157,Physics,11,GPT-4,Rarely,8.8,4,3,94.36
RES_0158,Physics,9,GPT-4,Weekly,8.5,5,4,79.41
RES_0159,Engineering,3,GPT-4,Monthly,3.7,6,1,65.36
RES_0160,Social Sciences,17,Claude 3,Monthly,3.3,1,8,71.55
RES_0161,Medicine,8,Gemini Ultra,Daily,13.8,5,1,86.43
RES_0162,Medicine,13,Gemini Ultra,Weekly,5.6,7,5,84.46
RES_0163,Humanities,15,Gemini Ultra,Weekly,6.2,6,6,81.19
RES_0164,Engineering,5,GPT-4,Daily,11.6,6,2,87.25
RES_0165,Computer Science,5,None,Weekly,0.0,7,7,85.43
RES_0166,Humanities,6,Copilot,Rarely,5.7,4,7,95.16
RES_0167,Engineering,19,Copilot,Daily,14.3,3,1,83.38
RES_0168,Social Sciences,3,Copilot,Rarely,11.3,8,4,91.07
RES_0169,Social Sciences,21,None,Weekly,0.0,4,4,69.92
RES_0170,Social Sciences,9,Llama 3,Daily,9.4,5,5,87.06
RES_0171,Social Sciences,10,GPT-4,Weekly,13.3,5,1,96.0
RES_0172,Social Sciences,15,Gemini Ultra,Daily,1.7,3,1,75.39
RES_0173,Engineering,8,Gemini Ultra,Weekly,4.6,9,7,91.09
RES_0174,Engineering,17,Gemini Ultra,Rarely,7.5,8,9,88.92
RES_0175,Physics,5,Llama 3,Rarely,4.2,6,1,62.38
RES_0176,Medicine,21,GPT-4,Weekly,11.4,3,2,83.2
RES_0177,Social Sciences,5,Claude 3,Daily,13.9,5,6,65.19
RES_0178,Computer Science,21,None,Monthly,0.0,5,6,98.6
RES_0179,Engineering,5,Llama 3,Rarely,6.9,5,2,92.38
RES_0180,Computer Science,6,Llama 3,Rarely,5.8,3,9,64.38
RES_0181,Computer Science,3,GPT-4,Monthly,14.5,7,4,64.86
RES_0182,Computer Science,4,Claude 3,Weekly,7.2,3,7,83.72
RES_0183,Physics,8,Copilot,Daily,7.8,0,6,73.76
RES_0184,Engineering,9,Gemini Ultra,Weekly,5.9,6,3,61.39
RES_0185,Computer Science,16,Gemini Ultra,Never,13.7,6,8,81.61
RES_0186,Social Sciences,7,Claude 3,Rarely,9.0,4,7,75.48
RES_0187,Humanities,11,Gemini Ultra,Never,11.7,5,9,64.03
RES_0188,Computer Science,9,GPT-4,Rarely,12.4,9,3,92.0
RES_0189,Physics,11,Gemini Ultra,Rarely,5.8,5,1,96.51
RES_0190,Engineering,4,Claude 3,Never,7.1,4,2,90.19
RES_0191,Physics,5,Claude 3,Never,12.9,3,1,92.81
RES_0192,Computer Science,4,Gemini Ultra,Weekly,6.1,6,5,68.64
RES_0193,Engineering,18,None,Never,0.0,2,10,70.52
RES_0194,Humanities,21,GPT-4,Weekly,12.1,6,2,68.32
RES_0195,Computer Science,5,Copilot,Weekly,14.2,6,3,90.53
RES_0196,Physics,5,GPT-4,Weekly,9.7,6,8,97.82
RES_0197,Medicine,13,Claude 3,Rarely,11.4,5,10,88.6
RES_0198,Social Sciences,22,GPT-4,Rarely,12.3,3,5,95.17
RES_0199,Physics,26,Claude 3,Never,12.8,4,4,85.48
RES_0200,Engineering,4,Llama 3,Rarely,6.5,4,5,75.47
RES_0201,Computer Science,6,GPT-4,Never,1.7,5,10,76.99
RES_0202,Social Sciences,10,Claude 3,Rarely,6.6,4,6,63.01
RES_0203,Computer Science,10,None,Daily,0.0,4,7,61.26
RES_0204,Engineering,7,GPT-4,Daily,10.4,5,9,87.75
RES_0205,Computer Science,4,Gemini Ultra,Never,7.3,5,1,77.49
RES_0206,Medicine,8,Claude 3,Rarely,11.5,5,4,82.03
RES_0207,Social Sciences,26,Gemini Ultra,Rarely,6.0,7,9,82.25
RES_0208,Social Sciences,5,GPT-4,Weekly,9.9,3,5,71.07
RES_0209,Engineering,9,GPT-4,Monthly,3.6,2,8,78.99
RES_0210,Medicine,37,GPT-4,Never,11.5,4,1,78.78
RES_0211,Physics,5,GPT-4,Monthly,8.6,4,4,75.5
RES_0212,Computer Science,13,GPT-4,Monthly,3.9,6,9,92.74
RES_0213,Humanities,26,Gemini Ultra,Never,5.1,3,1,78.0
RES_0214,Computer Science,12,Copilot,Rarely,11.5,5,1,84.09
RES_0215,Computer Science,17,Copilot,Never,7.8,5,4,95.73
RES_0216,Physics,14,Gemini Ultra,Monthly,4.0,5,3,94.56
RES_0217,Computer Science,12,GPT-4,Rarely,14.5,5,7,95.53
RES_0218,Medicine,20,GPT-4,Daily,11.0,3,3,70.77
RES_0219,Medicine,13,Claude 3,Never,14.4,10,1,61.4
RES_0220,Social Sciences,7,GPT-4,Never,7.0,5,10,70.42
RES_0221,Engineering,9,Llama 3,Rarely,7.7,4,2,71.12
RES_0222,Humanities,10,Llama 3,Daily,13.6,4,10,96.28
RES_0223,Computer Science,6,Claude 3,Daily,8.4,7,4,85.9
RES_0224,Computer Science,9,Claude 3,Rarely,10.9,3,1,63.26
RES_0225,Physics,8,Copilot,Weekly,4.5,6,1,65.4
RES_0226,Engineering,13,Gemini Ultra,Never,7.3,2,8,66.21
RES_0227,Medicine,31,Claude 3,Never,2.7,4,7,85.15
RES_0228,Humanities,10,None,Monthly,0.0,4,8,89.34
RES_0229,Social Sciences,23,None,Rarely,0.0,4,4,94.3
RES_0230,Medicine,12,Claude 3,Monthly,3.9,8,6,97.53
RES_0231,Engineering,9,Claude 3,Monthly,1.0,5,3,68.05
RES_0232,Social Sciences,5,Llama 3,Daily,1.5,8,8,72.36
RES_0233,Physics,9,None,Never,0.0,5,4,69.59
RES_0234,Physics,9,Copilot,Monthly,14.7,7,3,74.31
RES_0235,Computer Science,4,GPT-4,Daily,4.4,8,4,96.5
RES_0236,Engineering,5,Claude 3,Rarely,10.3,3,6,82.95
RES_0237,Humanities,11,Llama 3,Monthly,12.7,4,7,89.45
RES_0238,Social Sciences,23,Llama 3,Never,8.7,6,7,79.56
RES_0239,Medicine,7,GPT-4,Monthly,3.1,4,4,61.15
RES_0240,Engineering,2,Copilot,Rarely,11.2,4,8,62.56
RES_0241,Engineering,3,Gemini Ultra,Monthly,9.4,6,7,81.46
RES_0242,Physics,13,Copilot,Never,11.2,2,2,88.68
RES_0243,Computer Science,2,Copilot,Daily,11.8,4,8,68.59
RES_0244,Computer Science,15,Gemini Ultra,Never,14.7,2,9,88.8
RES_0245,Social Sciences,13,Claude 3,Daily,9.0,8,5,92.35
RES_0246,Physics,7,Gemini Ultra,Weekly,5.8,7,4,76.43
RES_0247,Engineering,4,GPT-4,Never,10.1,2,4,89.78
RES_0248,Humanities,6,Gemini Ultra,Never,2.0,5,4,76.12
RES_0249,Physics,10,GPT-4,Rarely,13.6,6,6,87.07
RES_0250,Social Sciences,2,Gemini Ultra,Monthly,2.7,7,4,90.48
RES_0251,Social Sciences,21,GPT-4,Daily,5.6,7,7,99.58
RES_0252,Physics,10,GPT-4,Daily,12.4,7,7,73.78
RES_0253,Social Sciences,11,GPT-4,Rarely,9.4,6,5,76.4
RES_0254,Physics,13,GPT-4,Rarely,6.5,5,5,66.61
RES_0255,Medicine,20,Gemini Ultra,Monthly,7.6,5,10,68.14
RES_0256,Physics,9,Gemini Ultra,Monthly,13.0,8,8,87.67
RES_0257,Physics,13,Llama 3,Never,5.8,7,7,96.59
RES_0258,Social Sciences,4,GPT-4,Weekly,13.2,4,7,75.74
RES_0259,Social Sciences,26,GPT-4,Monthly,2.2,5,6,67.18
RES_0260,Computer Science,9,GPT-4,Rarely,11.9,8,7,71.38
RES_0261,Computer Science,4,GPT-4,Monthly,12.9,5,7,78.16
RES_0262,Medicine,5,Copilot,Daily,3.5,2,10,71.6
RES_0263,Computer Science,1,GPT-4,Weekly,7.0,3,2,69.32
RES_0264,Physics,5,Claude 3,Never,3.3,7,10,89.37
RES_0265,Social Sciences,1,GPT-4,Daily,10.9,3,2,60.31
RES_0266,Computer Science,14,GPT-4,Daily,8.5,8,10,81.52
RES_0267,Computer Science,11,Llama 3,Weekly,9.9,1,7,91.67
RES_0268,Medicine,3,Gemini Ultra,Never,3.8,5,10,70.62
RES_0269,Engineering,8,GPT-4,Rarely,4.0,3,7,84.07
RES_0270,Medicine,8,GPT-4,Never,1.6,5,7,86.69
RES_0271,Physics,2,Claude 3,Monthly,5.5,5,5,86.14
RES_0272,Social Sciences,6,GPT-4,Daily,8.8,2,1,77.79
RES_0273,Medicine,8,GPT-4,Monthly,13.0,7,2,73.83
RES_0274,Computer Science,6,None,Rarely,0.0,2,9,93.35
RES_0275,Social Sciences,4,Gemini Ultra,Monthly,10.3,4,8,90.26
RES_0276,Social Sciences,3,Llama 3,Never,7.1,5,8,72.82
RES_0277,Computer Science,6,Claude 3,Monthly,14.3,4,10,64.11
RES_0278,Medicine,5,Claude 3,Rarely,11.1,4,1,62.87
RES_0279,Computer Science,12,Llama 3,Rarely,14.0,5,6,63.76
RES_0280,Engineering,21,Gemini Ultra,Rarely,8.4,4,9,83.26
RES_0281,Social Sciences,15,Gemini Ultra,Never,4.6,4,8,62.06
RES_0282,Humanities,8,GPT-4,Rarely,1.7,5,3,73.44
RES_0283,Humanities,4,Llama 3,Daily,11.2,7,4,90.05
RES_0284,Physics,15,Claude 3,Rarely,2.7,6,3,71.74
RES_0285,Computer Science,13,Copilot,Monthly,5.2,6,6,90.46
RES_0286,Computer Science,20,Gemini Ultra,Monthly,8.5,8,9,89.74
RES_0287,Physics,9,Llama 3,Monthly,8.9,5,8,69.81
RES_0288,Physics,25,GPT-4,Never,9.4,2,10,89.08
RES_0289,Physics,9,Gemini Ultra,Monthly,3.3,4,4,89.84
RES_0290,Social Sciences,4,GPT-4,Never,6.3,6,2,75.86
RES_0291,Engineering,5,Claude 3,Never,9.6,3,8,68.4
RES_0292,Computer Science,12,GPT-4,Rarely,14.6,3,8,80.8
RES_0293,Social Sciences,5,Gemini Ultra,Daily,11.2,5,6,96.76
RES_0294,Physics,25,GPT-4,Rarely,13.9,5,8,85.52
RES_0295,Computer Science,11,Claude 3,Rarely,11.7,6,9,66.9
RES_0296,Social Sciences,8,Copilot,Never,9.3,2,1,87.24
RES_0297,Engineering,9,GPT-4,Never,3.7,6,9,77.05
RES_0298,Social Sciences,6,Llama 3,Monthly,10.3,4,2,83.6
RES_0299,Engineering,1,Claude 3,Monthly,9.7,3,1,89.29
RES_0300,Physics,5,GPT-4,Rarely,9.4,4,8,80.55
RES_0301,Engineering,23,Gemini Ultra,Weekly,7.9,2,8,92.48
RES_0302,Computer Science,9,GPT-4,Weekly,8.4,6,4,88.81
RES_0303,Physics,17,Claude 3,Monthly,5.7,8,8,84.54
RES_0304,Computer Science,17,Llama 3,Weekly,8.3,5,7,66.02
RES_0305,Humanities,8,Gemini Ultra,Monthly,3.8,6,2,93.35
RES_0306,Medicine,13,Gemini Ultra,Never,12.3,5,5,97.34
RES_0307,Engineering,1,GPT-4,Rarely,3.6,5,10,65.46
RES_0308,Medicine,21,GPT-4,Daily,2.2,6,4,79.48
RES_0309,Medicine,20,Gemini Ultra,Rarely,7.1,4,3,70.33
RES_0310,Engineering,11,Llama 3,Monthly,10.2,4,1,90.11
RES_0311,Physics,10,Copilot,Monthly,7.1,5,5,88.79
RES_0312,Humanities,8,Copilot,Rarely,4.9,5,10,65.62
RES_0313,Computer Science,18,Copilot,Monthly,8.8,4,8,94.99
RES_0314,Social Sciences,14,Claude 3,Weekly,5.9,4,9,67.22
RES_0315,Computer Science,6,Claude 3,Weekly,14.1,7,7,91.81
RES_0316,Social Sciences,2,Gemini Ultra,Monthly,13.9,5,1,78.23
RES_0317,Computer Science,2,Claude 3,Monthly,8.0,4,1,73.1
RES_0318,Engineering,18,GPT-4,Weekly,5.6,3,1,66.31
RES_0319,Humanities,8,Copilot,Monthly,11.3,9,2,66.69
RES_0320,Social Sciences,11,Copilot,Monthly,1.5,6,1,86.41
RES_0321,Physics,8,Claude 3,Rarely,7.6,6,4,81.96
RES_0322,Computer Science,2,GPT-4,Daily,5.7,4,10,64.87
RES_0323,Computer Science,1,Claude 3,Weekly,13.9,7,9,64.5
RES_0324,Social Sciences,5,Copilot,Rarely,1.2,6,4,62.89
RES_0325,Physics,6,None,Daily,0.0,6,4,89.68
RES_0326,Physics,6,GPT-4,Monthly,8.7,2,7,88.4
RES_0327,Engineering,6,GPT-4,Monthly,11.4,6,9,62.33
RES_0328,Engineering,30,Copilot,Rarely,7.8,4,7,82.35
