Researcher_ID,Field_of_Study,Years_Experience,Primary_LLM_Tool,Usage_Frequency,Weekly_Hours_Saved,Papers_Published_3Yrs,Ethical_Concern_Score,AI_Detection_Pass_Rate
RES_0329,Engineering,16,Claude 3,Monthly,2.2,7,1,63.38
RES_0330,Engineering,9,Llama 3,Never,14.6,8,1,96.06
RES_0331,Engineering,7,None,Rarely,0.0,6,4,96.19
RES_0332,Engineering,8,GPT-4,Daily,8.3,3,4,87.86
RES_0333,Humanities,14,Gemini Ultra,Rarely,9.6,4,1,96.95
RES_0334,Physics,7,GPT-4,Weekly,4.3,5,6,92.38
RES_0335,Engineering,15,Claude 3,Rarely,7.8,3,10,93.06
RES_0336,Physics,10,Copilot,Monthly,7.0,5,2,82.73
RES_0337,Physics,30,Claude 3,Monthly,2.0,8,5,72.21
RES_0338,Medicine,7,None,Never,0.0,8,8,68.69
RES_0339,Humanities,17,Llama 3,Never,2.5,5,3,73.06
RES_0340,Engineering,3,Claude 3,Never,12.7,5,9,85.08
RES_0341,Computer Science,4,GPT-4,Daily,4.4,8,7,66.89
RES_0342,Social Sciences,27,Claude 3,Never,3.7,5,9,70.32
RES_0343,Computer Science,15,Claude 3,Daily,8.1,4,1,78.68
RES_0344,Humanities,11,GPT-4,Never,11.8,3,5,69.3
RES_0345,Social Sciences,35,Claude 3,Daily,1.9,7,3,83.49
RES_0346,Humanities,7,Claude 3,Rarely,9.1,4,4,96.83
RES_0347,Physics,17,Gemini Ultra,Rarely,2.7,4,4,89.85
RES_0348,Social Sciences,18,Gemini Ultra,Monthly,1.5,5,7,86.59
RES_0349,Physics,23,Gemini Ultra,Daily,1.7,3,10,83.25
RES_0350,Computer Science,2,GPT-4,Weekly,12.7,5,8,79.47
RES_0351,Computer Science,7,GPT-4,Monthly,2.7,4,10,67.44
RES_0352,Social Sciences,10,Gemini Ultra,Rarely,1.6,6,5,95.7
RES_0353,Social Sciences,23,Claude 3,Daily,7.1,5,10,69.92
RES_0354,Engineering,11,GPT-4,Never,12.8,5,7,63.64
RES_0355,Humanities,18,Copilot,Weekly,4.7,2,3,89.93
RES_0356,Engineering,2,Gemini Ultra,Rarely,6.9,5,3,67.01
RES_0357,Humanities,6,Llama 3,Monthly,1.6,3,3,74.84
RES_0358,Engineering,20,GPT-4,Daily,7.3,3,4,61.13
RES_0359,Physics,7,Gemini Ultra,Weekly,9.1,5,6,65.47
RES_0360,Social Sciences,8,Llama 3,Daily,9.0,4,5,66.91
RES_0361,Computer Science,23,Gemini Ultra,Never,5.7,3,8,62.17
RES_0362,Humanities,3,Gemini Ultra,Monthly,5.4,4,5,86.2
RES_0363,Humanities,4,Copilot,Daily,2.5,2,5,93.4
RES_0364,Computer Science,2,Llama 3,Rarely,6.1,6,10,74.9
RES_0365,Engineering,24,GPT-4,Monthly,2.4,7,2,94.9
RES_0366,Humanities,16,Gemini Ultra,Rarely,11.7,3,5,68.51
RES_0367,Physics,16,Gemini Ultra,Daily,14.5,5,7,72.98
RES_0368,Social Sciences,6,Gemini Ultra,Monthly,14.6,4,2,66.01
RES_0369,Computer Science,2,GPT-4,Rarely,13.1,6,6,84.76
RES_0370,Social Sciences,1,GPT-4,Never,9.4,6,7,76.75
RES_0371,Humanities,20,Copilot,Never,10.8,2,5,84.47
RES_0372,Humanities,12,Gemini Ultra,Daily,5.0,2,9,90.39
RES_0373,Computer Science,14,None,Monthly,0.0,5,4,81.77
RES_0374,Physics,10,Gemini Ultra,Weekly,9.8,2,10,85.04
RES_0375,Medicine,4,Llama 3,Monthly,7.4,7,1,97.32
RES_0376,Computer Science,6,Gemini Ultra,Never,7.7,4,8,71.93
RES_0377,Medicine,3,Copilot,Rarely,11.6,5,8,74.33
RES_0378,Engineering,3,Llama 3,Weekly,4.9,7,7,88.64
RES_0379,Medicine,15,Gemini Ultra,Daily,5.5,5,8,84.39
RES_0380,Physics,1,GPT-4,Weekly,13.9,7,2,67.12
RES_0381,Engineering,3,Claude 3,Daily,1.8,1,3,75.01
RES_0382,Medicine,6,Gemini Ultra,Weekly,7.8,3,9,78.67
RES_0383,Engineering,9,GPT-4,Daily,13.8,4,1,76.73
RES_0384,Medicine,2,GPT-4,Daily,9.5,9,8,67.11
RES_0385,Physics,11,Claude 3,Weekly,8.6,4,8,96.88
RES_0386,Medicine,9,GPT-4,Weekly,4.5,5,7,90.42
RES_0387,Medicine,20,GPT-4,Daily,5.8,6,5,79.21
RES_0388,Medicine,9,Claude 3,Never,12.9,6,4,87.13
RES_0389,Computer Science,12,None,Weekly,0.0,3,10,95.8
RES_0390,Computer Science,4,Llama 3,Monthly,8.8,3,10,65.43
RES_0391,Computer Science,4,GPT-4,Rarely,8.2,5,10,69.99
RES_0392,Physics,2,GPT-4,Daily,2.4,7,10,81.65
RES_0393,Engineering,4,Gemini Ultra,Daily,1.2,6,6,91.88
RES_0394,Humanities,6,Claude 3,Rarely,14.5,6,1,61.45
RES_0395,Medicine,19,Copilot,Never,6.3,4,5,99.26
RES_0396,Medicine,4,Gemini Ultra,Rarely,9.4,7,4,78.15
RES_0397,Physics,31,Gemini Ultra,Weekly,2.1,4,4,74.33
RES_0398,Medicine,13,GPT-4,Rarely,10.6,8,7,71.68
RES_0399,Computer Science,11,Gemini Ultra,Daily,14.1,5,9,66.96
RES_0400,Humanities,8,GPT-4,Rarely,9.1,5,8,91.58
RES_0401,Social Sciences,7,None,Monthly,0.0,4,8,98.12
RES_0402,Medicine,5,Gemini Ultra,Weekly,2.8,5,5,76.5
RES_0403,Computer Science,2,Claude 3,Rarely,9.1,2,6,98.0
RES_0404,Social Sciences,4,GPT-4,Daily,11.7,3,2,92.87
RES_0405,Humanities,24,GPT-4,Weekly,6.7,7,3,79.19
RES_0406,Social Sciences,12,Gemini Ultra,Daily,13.3,5,5,86.89
RES_0407,Computer Science,23,GPT-4,Never,10.1,6,2,77.36
RES_0408,Engineering,5,Llama 3,Monthly,13.6,7,3,82.29
RES_0409,Engineering,3,GPT-4,Never,9.7,2,4,62.32
RES_0410,Social Sciences,8,Gemini Ultra,Monthly,2.8,7,6,87.78
RES_0411,Physics,4,Copilot,Rarely,5.3,5,5,62.11
RES_0412,Social Sciences,9,Gemini Ultra,Weekly,3.8,5,10,92.6
RES_0413,Medicine,1,Gemini Ultra,Rarely,13.7,7,4,92.92
RES_0414,Medicine,1,GPT-4,Monthly,11.6,6,2,69.46
RES_0415,Engineering,10,GPT-4,Monthly,10.5,5,5,72.91
RES_0416,Physics,24,Gemini Ultra,Monthly,5.2,0,5,79.2
RES_0417,Computer Science,11,Claude 3,Daily,3.6,7,7,83.81
RES_0418,Medicine,12,Claude 3,Weekly,11.6,5,1,71.47
RES_0419,Engineering,8,GPT-4,Rarely,7.6,5,4,83.64
RES_0420,Humanities,9,GPT-4,Rarely,4.2,6,5,71.88
RES_0421,Engineering,2,GPT-4,Never,9.6,8,8,62.21
RES_0422,Medicine,4,Copilot,Monthly,1.6,4,8,60.1
RES_0423,Medicine,19,GPT-4,Monthly,5.6,6,1,64.04
RES_0424,Engineering,6,Llama 3,Monthly,7.6,4,5,91.61
RES_0425,Computer Science,18,GPT-4,Rarely,3.1,1,10,98.36
RES_0426,Social Sciences,9,Gemini Ultra,Never,14.8,3,1,77.04
RES_0427,Medicine,9,Claude 3,Daily,3.9,4,1,80.46
RES_0428,Engineering,6,Copilot,Weekly,2.8,5,2,65.86
RES_0429,Engineering,13,Copilot,Daily,3.8,4,2,81.99
RES_0430,Physics,16,Claude 3,Rarely,11.8,5,9,65.77
RES_0431,Social Sciences,4,None,Monthly,0.0,2,4,84.39
RES_0432,Humanities,2,None,Weekly,0.0,2,3,97.24
RES_0433,Computer Science,1,Copilot,Rarely,7.0,5,1,67.81
RES_0434,Humanities,12,Copilot,Rarely,8.9,5,2,90.51
RES_0435,Social Sciences,11,GPT-4,Rarely,1.3,5,6,60.94
RES_0436,Social Sciences,37,Llama 3,Weekly,1.5,6,9,74.98
RES_0437,Social Sciences,8,GPT-4,Weekly,7.2,4,5,64.42
RES_0438,Humanities,7,GPT-4,Never,12.4,9,4,74.06
RES_0439,Social Sciences,10,None,Never,0.0,7,5,66.92
RES_0440,Engineering,10,Claude 3,Daily,13.4,2,9,74.89
RES_0441,Humanities,7,Gemini Ultra,Weekly,2.2,3,7,76.66
RES_0442,Social Sciences,4,Copilot,Weekly,8.5,4,8,71.99
RES_0443,Engineering,8,Copilot,Weekly,13.8,6,4,86.2
RES_0444,Physics,8,None,Never,0.0,7,8,96.66
RES_0445,Social Sciences,8,GPT-4,Rarely,6.4,4,6,75.98
RES_0446,Humanities,14,GPT-4,Monthly,12.6,5,5,67.67
RES_0447,Medicine,8,Claude 3,Never,2.9,5,7,70.8
RES_0448,Social Sciences,2,GPT-4,Weekly,14.1,3,6,94.07
RES_0449,Medicine,4,GPT-4,Never,11.5,3,3,82.81
RES_0450,Engineering,7,Claude 3,Daily,14.2,7,5,78.15
RES_0451,Physics,8,Gemini Ultra,Weekly,10.5,3,9,65.97
RES_0452,Computer Science,12,Llama 3,Daily,6.1,8,7,77.94
RES_0453,Physics,8,Claude 3,Weekly,14.1,8,4,71.11
RES_0454,Social Sciences,1,Gemini Ultra,Never,4.9,5,7,97.63
RES_0455,Medicine,2,GPT-4,Rarely,5.7,5,5,95.27
RES_0456,Medicine,12,GPT-4,Monthly,10.8,3,2,63.35
RES_0457,Humanities,7,Gemini Ultra,Daily,11.7,3,6,80.61
RES_0458,Medicine,9,Gemini Ultra,Never,14.0,6,7,68.98
RES_0459,Humanities,6,Gemini Ultra,Rarely,3.9,5,8,76.39
RES_0460,Engineering,4,GPT-4,Never,12.2,4,6,94.99
RES_0461,Computer Science,6,Copilot,Daily,11.3,6,8,81.05
RES_0462,Social Sciences,9,Gemini Ultra,Monthly,1.9,3,7,73.34
RES_0463,Humanities,8,Llama 3,Never,6.4,12,2,68.29
RES_0464,Computer Science,16,Gemini Ultra,Weekly,5.0,1,6,91.93
RES_0465,Medicine,1,Copilot,Rarely,5.3,6,9,84.92
RES_0466,Medicine,2,Llama 3,Never,14.8,1,6,78.68
RES_0467,Computer Science,6,Llama 3,Rarely,10.0,6,4,68.68
RES_0468,Medicine,12,None,Weekly,0.0,1,7,73.34
RES_0469,Engineering,14,Gemini Ultra,Monthly,11.0,4,3,98.3
RES_0470,Engineering,5,Claude 3,Monthly,14.7,3,5,80.75
RES_0471,Computer Science,1,Gemini Ultra,Weekly,6.3,3,1,75.99
RES_0472,Humanities,5,Claude 3,Rarely,12.2,5,10,80.8
RES_0473,Humanities,11,GPT-4,Never,7.1,5,3,91.08
RES_0474,Computer Science,8,Llama 3,Weekly,13.2,5,8,73.57
RES_0475,Humanities,12,None,Daily,0.0,9,9,67.13
RES_0476,Humanities,18,None,Rarely,0.0,3,9,83.34
RES_0477,Engineering,7,Claude 3,Monthly,3.5,3,10,86.54
RES_0478,Humanities,5,Llama 3,Weekly,14.3,6,2,88.44
RES_0479,Physics,3,GPT-4,Monthly,4.1,6,4,95.19
RES_0480,Social Sciences,2,None,Rarely,0.0,3,5,74.81
RES_0481,Medicine,1,None,Monthly,0.0,7,3,63.01
RES_0482,Physics,4,Gemini Ultra,Weekly,5.6,4,1,98.24
RES_0483,Humanities,17,Copilot,Rarely,11.6,1,6,77.36
RES_0484,Engineering,13,Gemini Ultra,Daily,6.5,7,10,84.87
RES_0485,Computer Science,5,Llama 3,Weekly,9.5,7,2,86.59
RES_0486,Humanities,31,GPT-4,Never,7.2,2,9,81.81
RES_0487,Engineering,5,Claude 3,Weekly,11.4,5,1,68.19
RES_0488,Social Sciences,19,Gemini Ultra,Rarely,4.2,6,9,90.13
RES_0489,Humanities,23,Gemini Ultra,Weekly,1.8,9,7,92.07
RES_0490,Computer Science,11,Claude 3,Daily,5.2,3,10,82.06
RES_0491,Engineering,4,None,Daily,0.0,4,2,79.49
RES_0492,Engineering,6,GPT-4,Never,7.6,10,6,64.55
RES_0493,Engineering,9,Llama 3,Monthly,3.4,4,8,63.35
RES_0494,Social Sciences,2,Gemini Ultra,Rarely,6.0,4,2,73.55
RES_0495,Humanities,3,Gemini Ultra,Rarely,6.6,4,5,72.4
RES_0496,Social Sciences,3,Gemini Ultra,Monthly,1.8,7,6,98.05
RES_0497,Medicine,12,GPT-4,Daily,9.2,8,3,91.27
RES_0498,Medicine,18,GPT-4,Daily,13.4,6,2,86.33
RES_0499,Humanities,13,Gemini Ultra,Weekly,3.1,6,6,80.65
RES_0500,Social Sciences,16,Llama 3,Never,9.4,3,3,66.68
RES_0501,Computer Science,4,GPT-4,Never,10.3,5,2,99.04
RES_0502,Engineering,6,Gemini Ultra,Never,6.9,6,1,74.96
RES_0503,Engineering,6,Claude 3,Weekly,10.8,2,8,64.27
RES_0504,Humanities,11,Gemini Ultra,Never,6.8,8,1,79.7
RES_0505,Medicine,4,Copilot,Monthly,8.1,5,5,94.87
RES_0506,Medicine,15,GPT-4,Weekly,1.1,4,6,95.4
RES_0507,Engineering,22,GPT-4,Monthly,10.7,4,3,60.44
RES_0508,Humanities,12,Gemini Ultra,Weekly,10.3,2,7,95.36
RES_0509,Social Sciences,6,Gemini Ultra,Never,1.5,5,2,70.83
RES_0510,Medicine,4,Gemini Ultra,Monthly,6.2,5,7,61.55
RES_0511,Social Sciences,3,Copilot,Monthly,14.7,4,2,93.83
RES_0512,Medicine,1,Copilot,Monthly,6.9,2,5,94.47
RES_0513,Medicine,6,None,Weekly,0.0,4,7,83.79
RES_0514,Physics,6,Llama 3,Rarely,8.0,4,3,82.92
RES_0515,Medicine,15,Claude 3,Never,13.7,1,4,92.44
RES_0516,Computer Science,5,Claude 3,Monthly,11.0,8,1,91.37
RES_0517,Humanities,7,GPT-4,Rarely,9.1,4,3,95.52
RES_0518,Humanities,10,Llama 3,Never,12.2,10,9,82.05
RES_0519,Social Sciences,11,GPT-4,Never,13.1,6,10,98.61
RES_0520,Medicine,14,None,Monthly,0.0,3,5,99.75
RES_0521,Computer Science,9,Llama 3,Monthly,7.4,6,8,64.65
RES_0522,Social Sciences,2,Llama 3,Weekly,7.7,4,2,93.9
RES_0523,Physics,11,Claude 3,Rarely,6.4,3,3,79.94
RES_0524,Social Sciences,4,GPT-4,Rarely,14.5,2,7,75.46
RES_0525,Social Sciences,19,GPT-4,Monthly,10.8,3,10,84.46
RES_0526,Medicine,8,Claude 3,Never,2.2,5,4,62.23
RES_0527,Physics,9,GPT-4,Monthly,13.1,3,9,80.21
RES_0528,Social Sciences,38,Gemini Ultra,Never,7.7,4,7,94.75
RES_0529,Computer Science,14,Copilot,Never,2.0,3,1,68.52
RES_0530,Computer Science,11,Copilot,Monthly,8.7,6,4,77.01
RES_0531,Humanities,7,Gemini Ultra,Daily,6.8,5,10,97.49
RES_0532,Physics,2,GPT-4,Rarely,13.3,5,6,77.1
RES_0533,Physics,7,Copilot,Never,3.9,4,6,74.3
RES_0534,Humanities,3,Copilot,Never,12.6,4,10,77.58
RES_0535,Social Sciences,24,GPT-4,Daily,8.8,6,6,80.73
RES_0536,Physics,11,Gemini Ultra,Weekly,1.8,4,5,85.22
RES_0537,Computer Science,18,GPT-4,Daily,14.6,6,3,91.95
RES_0538,Computer Science,4,Copilot,Daily,8.2,4,2,78.04
RES_0539,Medicine,4,None,Never,0.0,5,3,92.62
RES_0540,Physics,13,GPT-4,Rarely,5.1,5,9,81.3
RES_0541,Social Sciences,3,Copilot,Daily,7.6,4,3,73.51
RES_0542,Humanities,5,Gemini Ultra,Weekly,13.0,5,3,86.25
RES_0543,Humanities,25,None,Monthly,0.0,3,1,88.64
RES_0544,Social Sciences,6,Claude 3,Daily,5.3,4,2,82.27
RES_0545,Engineering,2,Copilot,Daily,3.7,6,3,62.26
RES_0546,Medicine,1,GPT-4,Weekly,2.8,6,2,66.78
RES_0547,Humanities,1,Claude 3,Rarely,5.2,1,8,71.38
RES_0548,Physics,19,GPT-4,Daily,11.9,3,6,71.28
RES_0549,Medicine,5,None,Daily,0.0,4,7,86.87
RES_0550,Physics,38,Copilot,Rarely,7.6,6,1,60.73
RES_0551,Computer Science,22,Copilot,Weekly,4.2,4,6,90.15
RES_0552,Medicine,29,None,Daily,0.0,3,2,70.59
RES_0553,Humanities,16,GPT-4,Rarely,3.3,14,6,72.37
RES_0554,Medicine,12,Claude 3,Daily,5.7,5,3,81.06
RES_0555,Medicine,4,GPT-4,Monthly,14.2,4,7,68.62
RES_0556,Medicine,8,GPT-4,Never,5.8,5,3,95.29
RES_0557,Engineering,13,GPT-4,Monthly,14.8,5,9,63.41
RES_0558,Medicine,16,Claude 3,Daily,7.8,7,3,77.73
RES_0559,Physics,2,GPT-4,Weekly,3.5,7,7,93.89
RES_0560,Computer Science,7,GPT-4,Never,13.5,7,4,84.57
RES_0561,Social Sciences,7,GPT-4,Monthly,7.4,2,8,71.66
RES_0562,Medicine,7,GPT-4,Rarely,10.9,5,2,76.79
RES_0563,Humanities,3,None,Weekly,0.0,3,8,88.2
RES_0564,Medicine,26,Gemini Ultra,Monthly,14.8,7,9,98.83
RES_0565,Humanities,6,None,Rarely,0.0,2,8,95.64
RES_0566,Physics,3,Claude 3,Daily,1.7,6,6,73.66
RES_0567,Humanities,27,GPT-4,Rarely,2.4,4,10,99.83
RES_0568,Social Sciences,22,Gemini Ultra,Monthly,11.1,8,1,60.14
RES_0569,Computer Science,9,Claude 3,Monthly,4.9,5,7,61.1
RES_0570,Humanities,5,GPT-4,Daily,3.6,1,1,92.87
RES_0571,Humanities,1,GPT-4,Rarely,1.6,2,7,67.96
RES_0572,Computer Science,12,GPT-4,Rarely,1.3,3,2,62.42
RES_0573,Social Sciences,5,GPT-4,Daily,11.8,6,8,69.46
RES_0574,Medicine,8,Claude 3,Rarely,2.9,8,2,77.0
RES_0575,Humanities,25,Gemini Ultra,Daily,7.5,4,3,89.15
RES_0576,Computer Science,5,GPT-4,Weekly,9.5,3,3,84.91
RES_0577,Physics,11,GPT-4,Monthly,7.0,6,1,69.48
RES_0578,Computer Science,14,Copilot,Weekly,1.4,6,5,80.08
RES_0579,Physics,19,GPT-4,Never,12.0,8,5,96.96
RES_0580,Social Sciences,7,Claude 3,Never,1.1,6,10,92.52
RES_0581,Medicine,7,Copilot,Never,11.7,6,5,72.9
RES_0582,Computer Science,6,GPT-4,Daily,13.5,5,9,99.19
RES_0583,Engineering,10,GPT-4,Rarely,7.1,4,6,88.27
RES_0584,Humanities,22,Claude 3,Weekly,8.5,5,6,62.49
RES_0585,Social Sciences,6,Claude 3,Weekly,7.7,5,3,61.4
RES_0586,Computer Science,1,Llama 3,Weekly,6.4,6,5,66.72
RES_0587,Humanities,15,Copilot,Weekly,13.4,11,10,89.04
RES_0588,Computer Science,8,GPT-4,Never,13.5,8,7,67.33
RES_0589,Physics,12,Llama 3,Weekly,5.7,7,3,80.41
RES_0590,Computer Science,1,Llama 3,Rarely,9.6,7,2,63.72
RES_0591,Engineering,5,GPT-4,Never,14.0,4,5,96.74
RES_0592,Computer Science,14,Gemini Ultra,Weekly,14.5,8,3,73.72
RES_0593,Computer Science,2,GPT-4,Daily,8.1,6,5,96.23
RES_0594,Engineering,11,Claude 3,Monthly,7.3,2,9,97.7
RES_0595,Social Sciences,8,GPT-4,Monthly,4.9,4,10,60.24
RES_0596,Computer Science,4,Claude 3,Monthly,14.4,0,1,78.52
RES_0597,Engineering,4,Claude 3,Never,3.0,6,4,60.98
RES_0598,Humanities,3,Copilot,Weekly,9.1,0,10,96.26
RES_0599,Physics,8,GPT-4,Never,5.0,7,5,80.68
RES_0600,Physics,9,Claude 3,Rarely,4.9,9,2,62.99
RES_0601,Computer Science,6,Claude 3,Daily,6.7,7,2,64.4
RES_0602,Social Sciences,3,Gemini Ultra,Daily,15.0,2,1,75.3
RES_0603,Social Sciences,11,Llama 3,Monthly,1.8,4,8,97.52
RES_0604,Humanities,15,Gemini Ultra,Monthly,9.1,8,2,87.65
RES_0605,Computer Science,13,Gemini Ultra,Monthly,2.2,5,3,94.62
RES_0606,Physics,29,Copilot,Weekly,3.2,5,2,74.62
RES_0607,Social Sciences,7,Claude 3,Rarely,7.2,6,4,61.72
RES_0608,Computer Science,20,Llama 3,Rarely,8.1,2,1,98.88
RES_0609,Social Sciences,4,Copilot,Rarely,4.6,4,3,60.69
RES_0610,Engineering,4,None,Rarely,0.0,7,5,97.81
RES_0611,Social Sciences,9,Copilot,Monthly,5.4,3,10,74.71
RES_0612,Physics,23,Claude 3,Daily,2.2,6,1,60.4
RES_0613,Medicine,6,GPT-4,Monthly,5.2,2,4,87.5
RES_0614,Humanities,1,Claude 3,Rarely,14.5,8,6,99.12
RES_0615,Humanities,15,Gemini Ultra,Monthly,14.2,10,4,98.53
RES_0616,Physics,7,Claude 3,Rarely,5.7,5,7,66.42
RES_0617,Social Sciences,10,Claude 3,Never,9.0,4,7,67.23
RES_0618,Computer Science,4,Copilot,Daily,13.7,4,6,82.57
RES_0619,Social Sciences,9,Claude 3,Never,1.1,8,9,85.43
RES_0620,Physics,2,Copilot,Weekly,12.3,9,2,89.5
RES_0621,Humanities,27,Claude 3,Monthly,14.3,7,10,67.22
RES_0622,Social Sciences,17,Claude 3,Weekly,2.3,7,8,98.26
RES_0623,Humanities,8,Claude 3,Monthly,3.3,3,8,85.49
RES_0624,Computer Science,15,Gemini Ultra,Never,14.5,8,10,93.8
RES_0625,Humanities,4,GPT-4,Rarely,8.5,7,4,81.55
RES_0626,Humanities,16,GPT-4,Rarely,1.2,2,6,76.53
RES_0627,Medicine,6,None,Monthly,0.0,5,6,98.99
RES_0628,Medicine,5,GPT-4,Rarely,4.6,7,5,83.23
RES_0629,Engineering,3,Llama 3,Never,7.3,6,1,94.59
RES_0630,Medicine,11,Llama 3,Rarely,10.7,1,3,98.04
RES_0631,Humanities,8,Claude 3,Never,11.3,3,7,86.95
RES_0632,Physics,21,Gemini Ultra,Weekly,14.9,4,8,81.9
RES_0633,Humanities,3,GPT-4,Never,5.0,4,2,60.14
RES_0634,Physics,11,Llama 3,Daily,8.5,3,3,61.6
RES_0635,Physics,18,Claude 3,Daily,8.5,7,4,68.01
RES_0636,Medicine,9,Gemini Ultra,Daily,6.7,9,5,67.42
RES_0637,Social Sciences,6,GPT-4,Monthly,3.4,4,3,70.16
RES_0638,Computer Science,9,Llama 3,Monthly,14.7,3,5,72.17
RES_0639,Medicine,20,GPT-4,Monthly,12.9,4,8,74.37
RES_0640,Medicine,20,GPT-4,Never,8.0,4,8,76.78
RES_0641,Social Sciences,7,GPT-4,Monthly,9.4,6,2,63.94
RES_0642,Computer Science,19,GPT-4,Weekly,4.2,3,6,61.69
RES_0643,Humanities,8,Copilot,Daily,8.6,10,4,86.89
RES_0644,Engineering,15,GPT-4,Never,10.7,5,9,81.44
RES_0645,Engineering,12,None,Daily,0.0,5,10,77.72
RES_0646,Humanities,6,None,Monthly,0.0,3,2,85.31
RES_0647,Medicine,3,Llama 3,Never,8.2,2,8,93.02
RES_0648,Computer Science,18,GPT-4,Rarely,14.9,7,1,77.06
RES_0649,Medicine,22,Claude 3,Weekly,9.6,5,6,85.58
RES_0650,Physics,11,Gemini Ultra,Monthly,6.2,4,10,98.05
RES_0651,Medicine,8,Claude 3,Monthly,11.8,6,1,93.5
RES_0652,Medicine,2,GPT-4,Weekly,3.4,5,2,77.0
RES_0653,Humanities,18,Llama 3,Weekly,6.4,4,3,85.72
RES_0654,Humanities,10,Copilot,Rarely,5.9,7,9,67.07
RES_0655,Humanities,6,Gemini Ultra,Monthly,7.0,4,5,82.36
RES_0656,Engineering,15,GPT-4,Monthly,11.9,2,10,99.15
RES_0657,Physics,2,Gemini Ultra,Daily,7.8,3,10,80.68
RES_0658,Humanities,3,GPT-4,Never,12.1,8,2,97.01
RES_0659,Computer Science,4,GPT-4,Never,9.1,5,10,76.25
RES_0660,Engineering,12,Copilot,Daily,5.8,6,5,99.85
RES_0661,Social Sciences,9,GPT-4,Never,12.3,2,5,83.11
RES_0662,Computer Science,13,GPT-4,Weekly,4.3,3,1,61.69
